Person,Task,Rater,Criterion,Rating
Student_001,Essay,Rater_A,Content,4
Student_001,Essay,Rater_B,Content,3
Student_001,Essay,Rater_C,Organization,4
Student_001,Presentation,Rater_A,Language,5
Student_001,Project,Rater_B,Creativity,4
Student_002,Essay,Rater_A,Content,3
Student_002,Essay,Rater_B,Organization,2
Student_002,Presentation,Rater_C,Language,4
Student_002,Project,Rater_A,Creativity,3
Student_003,Essay,Rater_B,Content,2
Student_003,Presentation,Rater_A,Organization,3
Student_003,Project,Rater_C,Language,4
Student_003,Project,Rater_B,Creativity,3
Student_004,Essay,Rater_C,Content,5
Student_004,Presentation,Rater_B,Organization,4
Student_004,Project,Rater_A,Language,4
Student_004,Essay,Rater_A,Creativity,5
Student_005,Presentation,Rater_C,Content,3
Student_005,Project,Rater_B,Organization,3
Student_005,Essay,Rater_A,Language,2
Student_005,Essay,Rater_B,Creativity,3
Student_006,Presentation,Rater_A,Content,4
Student_006,Project,Rater_C,Organization,4
Student_006,Essay,Rater_B,Language,3
Student_006,Project,Rater_A,Creativity,4
Student_007,Essay,Rater_C,Content,2
Student_007,Presentation,Rater_B,Organization,3
Student_007,Project,Rater_A,Language,3
Student_007,Essay,Rater_A,Creativity,2
Student_008,Presentation,Rater_C,Content,4
Student_008,Project,Rater_B,Organization,4
Student_008,Essay,Rater_A,Language,5
Student_008,Essay,Rater_B,Creativity,4
Student_009,Presentation,Rater_A,Content,3
Student_009,Project,Rater_C,Organization,3
Student_009,Essay,Rater_B,Language,2
Student_009,Project,Rater_A,Creativity,3
Student_010,Essay,Rater_C,Content,5
Student_010,Presentation,Rater_B,Organization,4
Student_010,Project,Rater_A,Language,4
Student_010,Essay,Rater_A,Creativity,5
Student_011,Essay,Rater_A,Content,3
Student_011,Essay,Rater_B,Content,2
Student_011,Essay,Rater_C,Organization,3
Student_011,Presentation,Rater_A,Language,4
Student_011,Project,Rater_B,Creativity,3
Student_012,Essay,Rater_A,Content,4
Student_012,Essay,Rater_B,Organization,3
Student_012,Presentation,Rater_C,Language,4
Student_012,Project,Rater_A,Creativity,4
Student_013,Essay,Rater_B,Content,2
Student_013,Presentation,Rater_A,Organization,3
Student_013,Project,Rater_C,Language,4
Student_013,Project,Rater_B,Creativity,3
Student_014,Essay,Rater_C,Content,5
Student_014,Presentation,Rater_B,Organization,4
Student_014,Project,Rater_A,Language,4
Student_014,Essay,Rater_A,Creativity,5
Student_015,Presentation,Rater_C,Content,3
Student_015,Project,Rater_B,Organization,3
Student_015,Essay,Rater_A,Language,2
Student_015,Essay,Rater_B,Creativity,3
Student_016,Presentation,Rater_A,Content,4
Student_016,Project,Rater_C,Organization,4
Student_016,Essay,Rater_B,Language,3
Student_016,Project,Rater_A,Creativity,4
Student_017,Essay,Rater_C,Content,2
Student_017,Presentation,Rater_B,Organization,3
Student_017,Project,Rater_A,Language,3
Student_017,Essay,Rater_A,Creativity,2
Student_018,Presentation,Rater_C,Content,4
Student_018,Project,Rater_B,Organization,4
Student_018,Essay,Rater_A,Language,5
Student_018,Essay,Rater_B,Creativity,4
Student_019,Presentation,Rater_A,Content,3
Student_019,Project,Rater_C,Organization,3
Student_019,Essay,Rater_B,Language,2
Student_019,Project,Rater_A,Creativity,3
Student_020,Essay,Rater_C,Content,5
Student_020,Presentation,Rater_B,Organization,4
Student_020,Project,Rater_A,Language,4
Student_020,Essay,Rater_A,Creativity,5
